public_identifier;num_accomplishment_courses;name;number
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;9;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;10;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;11;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;12;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;13;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;14;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;15;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;16;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;17;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;18;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;19;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;20;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;21;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;22;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;23;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;24;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;25;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;26;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;27;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;28;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;29;;null
%C3%B6mer-%C3%B6zg%C3%BCr-%C3%A7apraz-5286a76b;30;;null
%C3%B6merh;1;;null
%C3%B6merh;2;;null
%C3%B6merh;3;;null
%C3%B6merh;4;;null
%C3%B6merh;5;;null
%C3%B6merh;6;;null
%C3%B6merh;7;;null
%C3%B6merh;8;;null
%C3%B6zcan-yurt-80b9a315;1;;BIL465
%C3%B6zcan-yurt-80b9a315;2;;BIL361
%C3%B6zcan-yurt-80b9a315;3;;ELE395
%C3%B6zcan-yurt-80b9a315;4;;ELE372
%C3%B6zcan-yurt-80b9a315;5;;ELE467
%C3%B6zcan-yurt-80b9a315;6;;BIL264
%C3%B6zcan-yurt-80b9a315;7;;BIL362
%C3%B6zcan-yurt-80b9a315;8;;ELE421
%C3%B6zcan-yurt-80b9a315;9;;EE5410
%C3%B6zcan-yurt-80b9a315;10;;EE647
%C3%B6zcan-yurt-80b9a315;11;;EE545
%C3%B6zcan-yurt-80b9a315;12;;EE546
%C3%B6zlem-diker-mba-93b28325;1;;-
%C3%B6zlem-diker-mba-93b28325;2;;-
%C3%B6zlem-diker-mba-93b28325;3;;-
%C3%B6zlem-diker-mba-93b28325;4;;-
%C3%B6zlem-diker-mba-93b28325;5;;-
%C3%B6zlem-diker-mba-93b28325;6;;-
%C3%B6zlem-diker-mba-93b28325;7;;-
%C3%B6zlem-diker-mba-93b28325;8;;-
%C3%B6zlem-diker-mba-93b28325;9;;-
%C3%B6zlem-diker-mba-93b28325;10;;-
%C3%B6zlem-diker-mba-93b28325;11;;-
%C3%B6zlem-diker-mba-93b28325;12;;-
%C3%B6zlem-diker-mba-93b28325;13;;-
%C3%B6zlem-diker-mba-93b28325;14;;-
%C3%B6zlem-diker-mba-93b28325;15;;-
%C3%B6zlem-diker-mba-93b28325;16;;-
%C3%B6zlem-diker-mba-93b28325;17;;-
%C3%B6zlem-diker-mba-93b28325;18;;-
%C3%B6zlem-diker-mba-93b28325;19;;-
%C3%B6zlem-diker-mba-93b28325;20;;-
%C3%B6zlem-diker-mba-93b28325;21;;-
%C3%B6zlem-diker-mba-93b28325;22;;-
%C3%B6zlem-diker-mba-93b28325;23;;-
%C3%B6zlem-diker-mba-93b28325;24;;-
%C3%B6zlem-diker-mba-93b28325;25;;-
%C3%B6zlem-diker-mba-93b28325;26;;-
%C3%B6zlem-diker-mba-93b28325;27;;-
%C3%B6zlem-diker-mba-93b28325;28;;-
%C3%B6zlem-diker-mba-93b28325;29;;-
%C3%BArsula-gabriela-jessee-4145a61;1;;null
%C3%BArsula-gabriela-jessee-4145a61;2;;null
%C3%BArsula-gabriela-jessee-4145a61;3;;null
%C3%BArsula-gabriela-jessee-4145a61;4;;null
%C3%BArsula-gabriela-jessee-4145a61;5;;null
%C5%BEaneta-maijorovait%C4%97-0b33a346;1;;null
%C5%BEaneta-maijorovait%C4%97-0b33a346;2;02;null
%C5%BEaneta-maijorovait%C4%97-0b33a346;3;;null
%C5%BEaneta-maijorovait%C4%97-0b33a346;4;;null
%CE%B2%CE%B5%CF%81%CE%B9%CF%82-%CE%B2%CE%BF%CE%B3-b3710812a;1;;250
%CF%81rabhat-%D1%82iwari-0253791b;1;;-
%D0%B0%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%B0-%D1%81%D0%BD%D0%B8%D0%B3%D1%83%D1%80-954107a3;1;0414-0435-043-043-0432-043-0439-0430-043-0433-043-0438-0439-0441-043-0438-0439-044-0437-044-043;null
%D0%B0%D0%BD%D0%B4%D1%80%D1%96%D0%B9-%D0%BA%D1%80%D1%96%D1%87%D1%84%D0%B0%D0%BB%D1%83%D1%88%D1%96%D0%B9-5b26031a9;1;;1
%7Ecosmin;1;;-
%7Epaula-adair%7E-14650b44;1;20-20;-
%7Epaula-adair%7E-14650b44;2;;-
%7Epaula-adair%7E-14650b44;3;;-
%7Epaula-adair%7E-14650b44;4;;-
%7Eqytang;1;;-
%7Eqytang;2;;-
%7Eqytang;3;;-
%7Eqytang;4;;-
%7Eqytang;5;;-
%7Eqytang;6;;-
%7Eqytang;7;;-
%7Eqytang;8;;-
%7Eqytang;9;;-
%7Eqytang;10;;-
%7Eramon;1;;COMPSCI 161
%7Eramon;2;;COMPSCI 142A
%7Eramon;3;;COMPSCI 132
%7Eramon;4;;COMPSCI 141
%7Eramon;5;;I&C SCI 139W
%7Eramon;6;;I&C SCI 46
%7Eramon;7;;COMPSCI 121
%7Eramon;8;;I&C SCI 33
%7Eramon;9;;COMPSCI 122A
%7Eramon;10;;I&C SCI 51
%7Eramon;11;;COMPSCI 143A
%7Eramon;12;;I&C SCI 45C
%7Eramon;13;;COMPSCI 146
%7Eramon;14;;I&C SCI 32
%7Eramon;15;;COMPSCI 143B
%7Eramon;16;;IN4MATX 113
%7Eramon;17;;I&C SCI 6B
%7Eramon;18;;I&C SCI 6N
%7Eramon;19;;I&C SCI 6D
%7Eramon;20;;COMPSCI 162
%7Eramon;21;;COMPSCI 171
%7Eramon;22;;STATS 67
%7Eramon;23;;I&C SCI 31
%7Eramon;24;;IN4MATX 43
%7Eramon;25;;CS 125
%7Eramon;26;;I&C SCI 53
%7Eramon;27;;I&C SCI 53L
%7Eramon;28;;I&C SCI 45J
%7Eramon;29;;MATH 2B
%7Eramon;30;;IN4MATX 121
%7Eramon;31;;IN4MATX 115
%7Eufarooq;1;;null
%7Eufarooq;2;;null
%7Eufarooq;3;;null
%7Eufarooq;4;;null
%7Eufarooq;5;;null
%7Eufarooq;6;;null
%7Eufarooq;7;;null
%7Eufarooq;8;;null
%7Eufarooq;9;;null
%7Eufarooq;10;;null
%7Eyanpeng;1;03;-
%7Eyanpeng;2;;-
%7Eyanpeng;3;;-
%7Eyanpeng;4;;-
%7Eyanpeng;5;;-
%7Eyanpeng;6;;-
%7Eyanpeng;7;;-
%7Eyanpeng;8;;-
%7Eyanpeng;9;;-
%7Eyanpeng;10;;-
%7Eyanpeng;11;;-
%7Eyanpeng;12;;-
%7Eyanpeng;13;;-
%7Eyanpeng;14;;-
%7Eyanpeng;15;;-
%C2%A0jennifer-bennett-9075a912;1;;null
%C2%A0jennifer-bennett-9075a912;2;;null
%C3%A1gata-ferreira-lima-;1;06;null
%C3%A1gata-ferreira-lima-;2;06;null
%C3%A1lvaro-gonz%C3%A1lez-hern%C3%A1ndez-35199650;1;;-
%C3%A1lvaro-gonz%C3%A1lez-hern%C3%A1ndez-35199650;2;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;1;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;2;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;3;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;4;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;5;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;6;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;7;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;8;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;9;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;10;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;11;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;12;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;13;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;14;;-
%C3%A1lvaro-r-calder%C3%B3n-santiago-61aba439;15;;-
%C3%A1ngeles-molinero-2ba56247;1;;null
%C3%A1ngeles-molinero-2ba56247;2;;null
%C3%A1ngeles-molinero-2ba56247;3;;null
%C3%A2ngela-crespo-47723693;1;2010-2013;null
%C3%A2ngela-crespo-47723693;2;;null
%C3%A2ngela-crespo-47723693;3;;null
%C3%A2ngela-crespo-47723693;4;;OEB 210
%C3%A9va-enriquez-b66267161;1;;null
%C3%A9va-enriquez-b66267161;2;2019;null
%C3%A9va-enriquez-b66267161;3;;null
%C3%A9va-enriquez-b66267161;4;;null
%C3%A9va-enriquez-b66267161;5;03;null
%C3%A9va-enriquez-b66267161;6;;null
%C3%A9va-enriquez-b66267161;7;;null
%C3%A9va-enriquez-b66267161;8;;null
%C3%A9va-lomuscio-llbsw-48117985;1;;PSY 2390
%C3%A9va-lomuscio-llbsw-48117985;2;;PSY 3820
%C3%A9va-lomuscio-llbsw-48117985;3;;CJ1020
%C3%A9va-lomuscio-llbsw-48117985;4;;CPS 2010
%C3%A9va-lomuscio-llbsw-48117985;5;;CJ 3210
%C3%A9va-lomuscio-llbsw-48117985;6;;SPA 1110
%C3%ADsishigino;1;00-00-07-00;-
%C3%B6mer-alp-44708a38;1;;-
%C3%B6mer-alp-44708a38;2;;-
%C3%B6mer-alp-44708a38;3;;-
%C3%B6mer-alp-44708a38;4;;-
%C3%B6mer-alp-44708a38;5;;-
%C3%B6mer-alp-44708a38;6;;-
%C3%B6mer-alp-44708a38;7;;-
%C3%B6zge-s%C3%BCrer-48224a33;1;;null
%C3%B6zge-s%C3%BCrer-48224a33;2;;null
%C3%B6zge-s%C3%BCrer-48224a33;3;;null
%C3%B6zge-s%C3%BCrer-48224a33;4;;null
%C3%B6zge-s%C3%BCrer-48224a33;5;;null
%C3%B6zge-s%C3%BCrer-48224a33;6;;null
%C3%B6zge-s%C3%BCrer-48224a33;7;;null
%C3%B6zge-s%C3%BCrer-48224a33;8;;null
%C3%B6zge-s%C3%BCrer-48224a33;9;;null
%C3%B6zge-s%C3%BCrer-48224a33;10;;null
%C3%B6zge-s%C3%BCrer-48224a33;11;;null
%C3%B6zge-s%C3%BCrer-48224a33;12;;null
%C3%B6zge-s%C3%BCrer-48224a33;13;;null
%C3%B6zge-s%C3%BCrer-48224a33;14;;2
%C3%B6zge-s%C3%BCrer-48224a33;15;;null
%C3%B6zge-s%C3%BCrer-48224a33;16;;null
%C3%B6zge-s%C3%BCrer-48224a33;17;;2
%C3%B6zkan-kayatuerk-33bbba47;1;;null
%C5%82ukasz-dysarski-33735457;1;0142-0142;UDT
%C5%82ukasz-dysarski-33735457;2;0142-0105-0144;NOT
%C5%82ukasz-dysarski-33735457;3;0142-0105-0144-65;NOT
%C5%82ukasz-dysarski-33735457;4;;PCK
%C5%82ukasz-dysarski-33735457;5;;null
%C5%82ukasz-podg%C3%B3recki-9a87a5107;1;;-
%C5%82ukasz-podg%C3%B3recki-9a87a5107;2;;-
%7Ebrandon;1;;CIS 262
%7Ebrandon;2;;CIS 121
%7Ebrandon;3;;ESE 301
%7Ebrandon;4;;MATH 240
%7Ebrandon;5;;CIS 160
%7Ebrandon;6;;CIS 120
%7Edfischer;1;;301
%7Edfischer;2;;Elective 480
%7Edfischer;3;;Elective 480
%7Edfischer;4;;201
%7Edfischer;5;;102
%7Edfischer;6;;Elective 480
%7Edfischer;7;;202
%7Edfischer;8;;Elective 480
%7Edfischer;9;;Grad 2433
%7Eiyer;1;;CS107
%7Eiyer;2;;CS109
%7Eiyer;3;;MATH51
%7Eiyer;4;;CS106B
%7Eiyer;5;;CS106A
%7Ejl;1;;CS 242
%7Ejl;2;;CS 124
%7Ejl;3;;MIT 6.036
%7Ejl;4;;MIT 18.404/6.840
%7Ejl;5;;CS 161
%7Ejl;6;;CS 263
%7Elaurafang;1;;ORF245
%7Elaurafang;2;;CHI305
%7Elaurafang;3;;PHI203
%7Elaurafang;4;;MAT202
%7Elaurafang;5;;MAT201
%7Elaurafang;6;;COS226
%7Elaurafang;7;;ECO312
%7Elaurafang;8;;ORF335
%7Elaurafang;9;;LIN201
%7Elaurafang;10;;ECO310
%7Elaurafang;11;;ORF307
%7Elaurafang;12;;ORF309
%7Elaurafang;13;;COS340
%7Erushabh;1;;CSE 630
%7Erushabh;2;;CSE 670
%7Erushabh;3;;CSE 602
%7Erushabh;4;;CSE 516
%7Erushabh;5;;CSE 655
%7Erushabh;6;;null
%7Erushabh;7;;null
%7Erushabh;8;;null
%7Erushabh;9;;null
%7Erushabh;10;;null
%7Ewendywu;1;;CIS320
%7Ewendywu;2;;CIS371
%7Ewendywu;3;;CIS240
%7Ewendywu;4;;CIS121
%7Ewendywu;5;;CIS550
%7Ewendywu;6;;ECON001
%7Ewendywu;7;;CIS197
%7Ewendywu;8;;CIS160
%7Ewendywu;9;;MATH114
%7Ewendywu;10;;CIS120
%7Ewendywu;11;;CIS192
%7Ewendywu;12;;STAT430
%C3%A1gota-supernault-0862a327;1;;null
%C3%A1gota-supernault-0862a327;2;;null
%C3%A1gota-supernault-0862a327;3;;null
%C3%A1gota-supernault-0862a327;4;;null
%C3%A1gota-supernault-0862a327;5;;null
%C3%A1gota-supernault-0862a327;6;;null
%C3%A1gota-supernault-0862a327;7;;null
%C3%A1gota-supernault-0862a327;8;;null
%C3%A1gota-supernault-0862a327;9;;null
%C3%A1gota-supernault-0862a327;10;;null
%C3%A1gota-supernault-0862a327;11;;null
%C3%A1gota-supernault-0862a327;12;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;1;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;2;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;3;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;4;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;5;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;6;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;7;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;8;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;9;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;10;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;11;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;12;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;13;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;14;;null
%C3%A1lvaro-r-calder%C3%B3n-61aba439;15;;null
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;1;;INTD3990
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;2;;QUIM3055
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;3;;INQU4034
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;4;;INEL4015
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;5;;INQU4001
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;6;;QUIM3335
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;7;;INQU4005
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;8;;INQU4008
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;9;;INQU4010
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;10;;MATE4009
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;11;;QUIM3450
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;12;;QUIM4041
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;13;;QUIM4042
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;14;;INQU5006
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;15;;INQU4011
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;16;;INQU 4012
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;17;;null
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;18;;null
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;19;;null
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;20;;null
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;21;;INQU4017
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;22;;INQU5020
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;23;;INQU4002
%C3%A1ngel-antonio-p%C3%A9rez-655ab980;24;;INQU5021
%C3%A1ngel-guzm%C3%A1n-3040a5a1;1;;POLITSC 4191
%C3%A1ngel-guzm%C3%A1n-3040a5a1;2;;PORTGSE 3401
%C3%A1ngel-guzm%C3%A1n-3040a5a1;3;;PORTGSE 4560
%C3%A1ngel-guzm%C3%A1n-3040a5a1;4;;CRPLAN 7509
%C3%A1ngel-guzm%C3%A1n-3040a5a1;5;;CRPLAN 7531
%C3%A1ngel-guzm%C3%A1n-3040a5a1;6;;CRPLAN 4597
%C3%A1ngel-guzm%C3%A1n-3040a5a1;7;;POLITSC 1300
%C3%A1ngel-guzm%C3%A1n-3040a5a1;8;;CRPLAN 6200
%C3%A1ngel-guzm%C3%A1n-3040a5a1;9;;CRPLAN 6000
%C3%A1ngel-guzm%C3%A1n-3040a5a1;10;;INTSTDS 5800
%C3%A1ngel-guzm%C3%A1n-3040a5a1;11;;CRPLAN 2800
%C3%A1ngel-guzm%C3%A1n-3040a5a1;12;;INTSTDS 2200
%C3%A1ngel-guzm%C3%A1n-3040a5a1;13;;INTSTDS 2800
%C3%A1ngel-guzm%C3%A1n-3040a5a1;14;;CRPLAN 6300
%C3%A1ngel-guzm%C3%A1n-3040a5a1;15;;CRPLAN 6310
%C3%A1ngel-guzm%C3%A1n-3040a5a1;16;;GEOG 3701
%C3%A1ngel-guzm%C3%A1n-3040a5a1;17;;PUBAFRS 6050
%C3%A1ngel-guzm%C3%A1n-3040a5a1;18;;CRPLAN 6430
%C3%A1ngel-guzm%C3%A1n-3040a5a1;19;;CRPLAN 6100
%C3%A1ngel-guzm%C3%A1n-3040a5a1;20;;INTSTDS 4803
%C3%A1ngel-guzm%C3%A1n-3040a5a1;21;;COMM 2367
%C3%A1ngel-guzm%C3%A1n-3040a5a1;22;;CRPLAN 6500
%C3%A1ngel-guzm%C3%A1n-3040a5a1;23;;CRPLAN 3300
%C3%A1ngel-guzm%C3%A1n-3040a5a1;24;;POLITSC 4210
%C3%A1ngel-guzm%C3%A1n-3040a5a1;25;;PORTGSE 3450
%C3%A1ngel-guzm%C3%A1n-3040a5a1;26;;CRPLAN 6191S
%C3%A1ngel-guzm%C3%A1n-3040a5a1;27;;CRPLAN 6620
%C3%A1ngel-guzm%C3%A1n-3040a5a1;28;;CRPLAN 6400
%C3%A1ngel-guzm%C3%A1n-3040a5a1;29;;GEOG 3600
%C3%A1ngel-guzm%C3%A1n-3040a5a1;30;;CRPLAN 6600
%C3%A1ngel-guzm%C3%A1n-3040a5a1;31;;POLITSC 4320
%C3%A1ngel-guzm%C3%A1n-3040a5a1;32;;6410
%C3%A1ngel-guzm%C3%A1n-3040a5a1;33;;PORTGSE 5611
%C3%A1ngel-guzm%C3%A1n-3040a5a1;34;;POLITSC 4300
%C3%A1ngel-guzm%C3%A1n-3040a5a1;35;;CRPLAN 4110
%C3%A1ngel-guzm%C3%A1n-3040a5a1;36;;POLITSC 4331
%C3%A1ngel-guzm%C3%A1n-3040a5a1;37;;INTSTDS 5191
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;1;;INQU 5025
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;2;;INQU 4034
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;3;;INQU 4017
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;4;;INQU 5021
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;5;;INQU 5020
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;6;;INQU 4001
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;7;;QUIM 4000
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;8;;INQU 4002
%C3%A1ngel-noel-santiago-col%C3%B3n-218524122;9;;INQU 4010
%C3%A5sa-cervone-2795362;1;;null
